NN size,Encoding rate,Encoding,Network,Decoding,Rotating,yolo,Server,Frame Rate,Confidence,Cumulative Confidence
128,25,4,6.2,1.3,0.1,10.8,12.8,41.6666666666667,[0.946461],0.946461
128,25,3,5.5,1.1,0.2,10.8,12.5,45.4545454545455,[0.532029],0.532029
128,25,4,6.4,1.8,0.1,10.9,13.6,38.4615384615385,"[0.935704, 0.92196, 0.979292, 0.818189]",3.655145
128,25,6,4.5,1,0.3,10.9,12.5,41.6666666666667,[0.837193],0.837193
128,25,5,4.4,1.5,0.1,9.3,11.6,47.6190476190476,[],0
128,25,5,5,0.4,0.1,7.2,8,55.5555555555556,[],0
128,25,5,4,0.9,0.1,8.7,10,47.6190476190476,[],0
128,25,4,6.7,0.9,0.1,7.8,9.3,47.6190476190476,"[0.945596, 0.567771]",1.513367
128,25,2,5.6,0.4,0,7.8,8.4,55.5555555555556,"[0.8093, 0.963155, 0.951976, 0.879851]",3.604282
128,25,4,5.2,1.1,0.2,10.8,12.8,43.4782608695652,[0.785595],0.785595
128,25,3,6.1,1.3,0.1,10.8,12.9,41.6666666666667,[0.63857],0.63857
128,25,3,4.2,1.5,0.1,10.7,12.8,47.6190476190476,[],0
128,25,4,4,1.4,0.1,10.9,13,41.6666666666667,[0.956373],0.956373
128,25,6,8.9,1.9,0.1,9.1,12.1,34.4827586206897,"[0.812247, 0.591921]",1.404168
128,25,4,7,0.8,0.1,7.7,9,47.6190476190476,[],0
128,25,3,3.8,1.4,0.3,10.9,13.2,45.4545454545455,[],0
128,25,4,4.7,1.1,0.1,9.7,11.3,50,[],0
128,25,5,5.4,1,0.1,7.8,9.6,47.6190476190476,[],0
128,25,2,5.4,1.7,0.3,11,13.6,45.4545454545455,[],0
128,25,5,5.8,1.4,0.1,9.1,11.2,41.6666666666667,[0.837095],0.837095
128,25,5,4.9,0.4,0.1,7.5,8.1,52.6315789473684,[0.572633],0.572633
128,25,5,5.9,1.4,0.1,10.8,13.1,40,[0.618916],0.618916
128,25,4,6.6,1.1,0.1,10.7,12.4,41.6666666666667,[],0
128,25,5,7.2,1.9,0.2,10.8,13.8,38.4615384615385,[],0
128,25,3,3.8,1.1,0.1,10.7,12.2,52.6315789473684,[],0
128,25,5,6.9,1.6,0.1,10.7,13.1,40,[],0
128,25,3,7.4,1.8,0.1,10.8,13.6,41.6666666666667,[],0
128,25,4,4.7,1.4,0.1,9.2,11.3,47.6190476190476,"[0.578787, 0.983886]",1.562673
128,25,4,5.5,0.7,0.1,7.4,8.5,52.6315789473684,[0.62404],0.62404
128,25,3,5.2,0.2,0,7.4,7.8,62.5,[],0
128,25,4,3.9,0.9,0.1,10.8,12.1,47.6190476190476,[],0
128,25,3,3.9,1.5,0.1,10.9,13.1,43.4782608695652,[0.961674],0.961674
